,file_name,transcription
63,processed_1004_play_spotify2,play spotify
64,processed_1004_reduce_volume1,reduce volume
65,processed_1004_reduce_volume2,reduce volume
66,processed_1004_skip_song1,skip song
67,processed_1004_skip_song2,skip song
68,processed_1004_stop_music1,stop music
69,processed_1004_stop_music2,stop music
70,processed_1005_increase_volume1,increase volume
71,processed_1005_increase_volume2,increase volume
72,processed_1005_next_song1,next song
73,processed_1005_next_song2,next song
74,processed_1005_pause_music1,pause music
75,processed_1005_pause_music2,pause music
76,processed_1005_play_spotify1,play spotify
77,processed_1005_play_spotify2,play spotify
78,processed_1005_reduce_volume1,reduce volume
79,processed_1005_reduce_volume2,reduce volume
80,processed_1005_skip_song1,skip song
81,processed_1005_skip_song2,skip song
82,processed_1005_stop_music1,stop music
83,processed_1005_stop_music2,stop music
84,processed_1006_increase_volume1,increase volume
85,processed_1006_increase_volume2,increase volume
86,processed_1006_next_song1,next song
87,processed_1006_next_song2,next song
88,processed_1006_pause_music1,pause music
89,processed_1006_pause_music2,pause music
90,processed_1006_play_spotify1,play spotify
91,processed_1006_play_spotify2,play spotify
92,processed_1006_reduce_volume1,reduce volume
93,processed_1006_reduce_volume2,reduce volume
94,processed_1006_skip_song1,skip song
95,processed_1006_skip_song2,skip song
96,processed_1006_stop_music1,stop music
97,processed_1006_stop_music2,stop music
98,processed_1007_increase_volume1,increase volume
99,processed_1007_increase_volume2,increase volume
100,processed_1007_next_song1,next song
101,processed_1007_next_song2,next song
102,processed_1007_pause_music1,pause music
103,processed_1007_pause_music2,pause music
104,processed_1007_play_spotify1,play spotify
105,processed_1007_play_spotify2,play spotify
106,processed_1007_reduce_volume1,reduce volume
107,processed_1007_reduce_volume2,reduce volume
108,processed_1007_skip_song1,skip song
109,processed_1007_skip_song2,skip song
110,processed_1007_stop_music1,stop music
111,processed_1007_stop_music2,stop music
112,processed_1008_increase_volume1,increase volume
113,processed_1008_increase_volume2,increase volume
114,processed_1008_next_song1,next song
115,processed_1008_next_song2,next song
116,processed_1008_pause_music1,pause music
117,processed_1008_pause_music2,pause music
118,processed_1008_play_spotify1,play spotify
119,processed_1008_play_spotify2,play spotify
120,processed_1008_reduce_volume1,reduce volume
121,processed_1008_reduce_volume2,reduce volume
122,processed_1008_skip_song1,skip song
123,processed_1008_skip_song2,skip song
124,processed_1008_stop_music1,stop music
125,processed_1008_stop_music2,stop music
126,processed_1009_increase_volume1,increase volume
127,processed_1009_increase_volume2,increase volume
128,processed_1009_next_song1,next song
129,processed_1009_next_song2,next song
130,processed_1009_pause_music1,pause music
131,processed_1009_pause_music2,pause music
132,processed_1009_play_spotify1,play spotify
133,processed_1009_play_spotify2,play spotify
134,processed_1009_reduce_volume1,reduce volume
135,processed_1009_reduce_volume2,reduce volume
136,processed_1009_skip_song1,skip song
137,processed_1009_skip_song2,skip song
138,processed_1009_stop_music1,stop music
139,processed_1009_stop_music2,stop music
140,processed_100_increase_volume1,increase volume
141,processed_100_increase_volume2,increase volume
142,processed_100_next_song1,next song
143,processed_100_next_song2,next song
144,processed_100_pause_music1,pause music
145,processed_100_pause_music2,pause music
146,processed_100_play_spotify1,play spotify
147,processed_100_play_spotify2,play spotify
148,processed_100_reduce_volume1,reduce volume
149,processed_100_reduce_volume2,reduce volume
150,processed_100_skip_song1,skip song
151,processed_100_skip_song2,skip song
152,processed_100_stop_music1,stop music
153,processed_100_stop_music2,stop music
154,processed_1010_increase_volume1,increase volume
155,processed_1010_increase_volume2,increase volume
156,processed_1010_next_song1,next song
157,processed_1010_next_song2,next song
158,processed_1010_pause_music1,pause music
159,processed_1010_pause_music2,pause music
160,processed_1010_play_spotify1,play spotify
161,processed_1010_play_spotify2,play spotify
162,processed_1010_reduce_volume1,reduce volume
163,processed_1010_reduce_volume2,reduce volume
164,processed_1010_skip_song1,skip song
165,processed_1010_skip_song2,skip song
166,processed_1010_stop_music1,stop music
167,processed_1010_stop_music2,stop music
168,processed_1011_increase_volume1,increase volume
169,processed_1011_increase_volume2,increase volume
170,processed_1011_next_song1,next song
171,processed_1011_next_song2,next song
172,processed_1011_pause_music1,pause music
173,processed_1011_pause_music2,pause music
174,processed_1011_play_spotify1,play spotify
175,processed_1011_play_spotify2,play spotify
176,processed_1011_reduce_volume1,reduce volume
177,processed_1011_reduce_volume2,reduce volume
178,processed_1011_skip_song1,skip song
179,processed_1011_skip_song2,skip song
180,processed_1011_stop_music1,stop music
181,processed_1011_stop_music2,stop music
182,processed_1012_increase_volume1,increase volume
183,processed_1012_increase_volume2,increase volume
184,processed_1012_next_song1,next song
185,processed_1012_next_song2,next song
186,processed_1012_pause_music1,pause music
187,processed_1012_pause_music2,pause music
188,processed_1012_play_spotify1,play spotify
189,processed_1012_play_spotify2,play spotify
190,processed_1012_reduce_volume1,reduce volume
191,processed_1012_reduce_volume2,reduce volume
192,processed_1012_skip_song1,skip song
193,processed_1012_skip_song2,skip song
194,processed_1012_stop_music1,stop music
195,processed_1012_stop_music2,stop music
196,processed_1013_increase_volume1,increase volume
197,processed_1013_increase_volume2,increase volume
198,processed_1013_next_song1,next song
199,processed_1013_next_song2,next song
200,processed_1013_pause_music1,pause music
201,processed_1013_pause_music2,pause music
202,processed_1013_play_spotify1,play spotify
203,processed_1013_play_spotify2,play spotify
204,processed_1013_reduce_volume1,reduce volume
205,processed_1013_reduce_volume2,reduce volume
206,processed_1013_skip_song1,skip song
207,processed_1013_skip_song2,skip song
208,processed_1013_stop_music1,stop music
209,processed_1013_stop_music2,stop music
210,processed_1014_increase_volume1,increase volume
211,processed_1014_increase_volume2,increase volume
212,processed_1014_next_song1,next song
213,processed_1014_next_song2,next song
214,processed_1014_pause_music1,pause music
215,processed_1014_pause_music2,pause music
216,processed_1014_play_spotify1,play spotify
217,processed_1014_play_spotify2,play spotify
218,processed_1014_reduce_volume1,reduce volume
219,processed_1014_reduce_volume2,reduce volume
220,processed_1014_skip_song1,skip song
221,processed_1014_skip_song2,skip song
222,processed_1014_stop_music1,stop music
223,processed_1014_stop_music2,stop music
224,processed_1015_increase_volume1,increase volume
225,processed_1015_increase_volume2,increase volume
226,processed_1015_next_song1,next song
227,processed_1015_next_song2,next song
228,processed_1015_pause_music1,pause music
229,processed_1015_pause_music2,pause music
230,processed_1015_play_spotify1,play spotify
231,processed_1015_play_spotify2,play spotify
232,processed_1015_reduce_volume1,reduce volume
233,processed_1015_reduce_volume2,reduce volume
234,processed_1015_skip_song1,skip song
235,processed_1015_skip_song2,skip song
236,processed_1015_stop_music1,stop music
237,processed_1015_stop_music2,stop music
238,processed_1016_increase_volume1,increase volume
239,processed_1016_increase_volume2,increase volume
240,processed_1016_next_song1,next song
241,processed_1016_next_song2,next song
242,processed_1016_pause_music1,pause music
243,processed_1016_pause_music2,pause music
244,processed_1016_play_spotify1,play spotify
245,processed_1016_play_spotify2,play spotify
246,processed_1016_reduce_volume1,reduce volume
247,processed_1016_reduce_volume2,reduce volume
248,processed_1016_skip_song1,skip song
249,processed_1016_skip_song2,skip song
250,processed_1016_stop_music1,stop music
251,processed_1016_stop_music2,stop music
252,processed_1017_increase_volume1,increase volume
253,processed_1017_increase_volume2,increase volume
254,processed_1017_next_song1,next song
255,processed_1017_next_song2,next song
256,processed_1017_pause_music1,pause music
257,processed_1017_pause_music2,pause music
258,processed_1017_play_spotify1,play spotify
259,processed_1017_play_spotify2,play spotify
260,processed_1017_reduce_volume1,reduce volume
261,processed_1017_reduce_volume2,reduce volume
262,processed_1017_skip_song1,skip song
263,processed_1017_skip_song2,skip song
264,processed_1017_stop_music1,stop music
265,processed_1017_stop_music2,stop music
266,processed_1018_increase_volume1,increase volume
267,processed_1018_increase_volume2,increase volume
268,processed_1018_next_song1,next song
269,processed_1018_next_song2,next song
270,processed_1018_pause_music1,pause music
271,processed_1018_pause_music2,pause music
272,processed_1018_play_spotify1,play spotify
273,processed_1018_play_spotify2,play spotify
274,processed_1018_reduce_volume1,reduce volume
275,processed_1018_reduce_volume2,reduce volume
276,processed_1018_skip_song1,skip song
277,processed_1018_skip_song2,skip song
278,processed_1018_stop_music1,stop music
279,processed_1018_stop_music2,stop music
280,processed_1019_increase_volume1,increase volume
281,processed_1019_increase_volume2,increase volume
282,processed_1019_next_song1,next song
283,processed_1019_next_song2,next song
284,processed_1019_pause_music1,pause music
285,processed_1019_pause_music2,pause music
286,processed_1019_play_spotify1,play spotify
287,processed_1019_play_spotify2,play spotify
288,processed_1019_reduce_volume1,reduce volume
289,processed_1019_reduce_volume2,reduce volume
290,processed_1019_skip_song1,skip song
291,processed_1019_skip_song2,skip song
292,processed_1019_stop_music1,stop music
293,processed_1019_stop_music2,stop music
294,processed_101_increase_volume1,increase volume
295,processed_101_increase_volume2,increase volume
296,processed_101_next_song1,next song
297,processed_101_next_song2,next song
298,processed_101_pause_music1,pause music
299,processed_101_pause_music2,pause music
300,processed_101_play_spotify1,play spotify
301,processed_101_play_spotify2,play spotify
302,processed_101_reduce_volume1,reduce volume
303,processed_101_reduce_volume2,reduce volume
304,processed_101_skip_song1,skip song
305,processed_101_skip_song2,skip song
306,processed_101_stop_music1,stop music
307,processed_101_stop_music2,stop music
308,processed_1020_increase_volume1,increase volume
309,processed_1020_increase_volume2,increase volume
310,processed_1020_next_song1,next song
311,processed_1020_next_song2,next song
312,processed_1020_pause_music1,pause music
313,processed_1020_pause_music2,pause music
314,processed_1020_play_spotify1,play spotify
315,processed_1020_play_spotify2,play spotify
316,processed_1020_reduce_volume1,reduce volume
317,processed_1020_reduce_volume2,reduce volume
318,processed_1020_skip_song1,skip song
319,processed_1020_skip_song2,skip song
320,processed_1020_stop_music1,stop music
321,processed_1020_stop_music2,stop music
322,processed_1021_increase_volume1,increase volume
323,processed_1021_increase_volume2,increase volume
324,processed_1021_next_song1,next song
325,processed_1021_next_song2,next song
326,processed_1021_pause_music1,pause music
327,processed_1021_pause_music2,pause music
328,processed_1021_play_spotify1,play spotify
329,processed_1021_play_spotify2,play spotify
330,processed_1021_reduce_volume1,reduce volume
331,processed_1021_reduce_volume2,reduce volume
332,processed_1021_skip_song1,skip song
333,processed_1021_skip_song2,skip song
334,processed_1021_stop_music1,stop music
335,processed_1021_stop_music2,stop music
336,processed_1022_increase_volume1,increase volume
337,processed_1022_increase_volume2,increase volume
338,processed_1022_next_song1,next song
339,processed_1022_next_song2,next song
340,processed_1022_pause_music1,pause music
341,processed_1022_pause_music2,pause music
342,processed_1022_play_spotify1,play spotify
343,processed_1022_play_spotify2,play spotify
344,processed_1022_reduce_volume1,reduce volume
345,processed_1022_reduce_volume2,reduce volume
346,processed_1022_skip_song1,skip song
347,processed_1022_skip_song2,skip song
348,processed_1022_stop_music1,stop music
349,processed_1022_stop_music2,stop music
350,processed_1023_increase_volume1,increase volume
351,processed_1023_increase_volume2,increase volume
352,processed_1023_next_song1,next song
353,processed_1023_next_song2,next song
354,processed_1023_pause_music1,pause music
355,processed_1023_pause_music2,pause music
356,processed_1023_play_spotify1,play spotify
357,processed_1023_play_spotify2,play spotify
358,processed_1023_reduce_volume1,reduce volume
359,processed_1023_reduce_volume2,reduce volume
360,processed_1023_skip_song1,skip song
361,processed_1023_skip_song2,skip song
362,processed_1023_stop_music1,stop music
363,processed_1023_stop_music2,stop music
364,processed_1024_increase_volume1,increase volume
365,processed_1024_increase_volume2,increase volume
366,processed_1024_next_song1,next song
367,processed_1024_next_song2,next song
368,processed_1024_pause_music1,pause music
369,processed_1024_pause_music2,pause music
370,processed_1024_play_spotify1,play spotify
371,processed_1024_play_spotify2,play spotify
372,processed_1024_reduce_volume1,reduce volume
373,processed_1024_reduce_volume2,reduce volume
374,processed_1024_skip_song1,skip song
375,processed_1024_skip_song2,skip song
376,processed_1024_stop_music1,stop music
377,processed_1024_stop_music2,stop music
378,processed_1025_increase_volume1,increase volume
379,processed_1025_increase_volume2,increase volume
380,processed_1025_next_song1,next song
381,processed_1025_next_song2,next song
382,processed_1025_pause_music1,pause music
383,processed_1025_pause_music2,pause music
384,processed_1025_play_spotify1,play spotify
385,processed_1025_play_spotify2,play spotify
386,processed_1025_reduce_volume1,reduce volume
387,processed_1025_reduce_volume2,reduce volume
388,processed_1025_skip_song1,skip song
389,processed_1025_skip_song2,skip song
390,processed_1025_stop_music1,stop music
391,processed_1025_stop_music2,stop music
392,processed_1026_increase_volume1,increase volume
393,processed_1026_increase_volume2,increase volume
394,processed_1026_next_song1,next song
395,processed_1026_next_song2,next song
396,processed_1026_pause_music1,pause music
397,processed_1026_pause_music2,pause music
398,processed_1026_play_spotify1,play spotify
399,processed_1026_play_spotify2,play spotify
400,processed_1026_reduce_volume1,reduce volume
401,processed_1026_reduce_volume2,reduce volume
402,processed_1026_skip_song1,skip song
403,processed_1026_skip_song2,skip song
404,processed_1026_stop_music1,stop music
405,processed_1026_stop_music2,stop music
406,processed_1027_increase_volume1,increase volume
407,processed_1027_increase_volume2,increase volume
408,processed_1027_next_song1,next song
409,processed_1027_next_song2,next song
410,processed_1027_pause_music1,pause music
411,processed_1027_pause_music2,pause music
412,processed_1027_play_spotify1,play spotify
413,processed_1027_play_spotify2,play spotify
414,processed_1027_reduce_volume1,reduce volume
415,processed_1027_reduce_volume2,reduce volume
416,processed_1027_skip_song1,skip song
417,processed_1027_skip_song2,skip song
418,processed_1027_stop_music1,stop music
419,processed_1027_stop_music2,stop music
420,processed_1028_increase_volume1,increase volume
421,processed_1028_increase_volume2,increase volume
422,processed_1028_next_song1,next song
423,processed_1028_next_song2,next song
424,processed_1028_pause_music1,pause music
425,processed_1028_pause_music2,pause music
426,processed_1028_play_spotify1,play spotify
427,processed_1028_play_spotify2,play spotify
428,processed_1028_reduce_volume1,reduce volume
429,processed_1028_reduce_volume2,reduce volume
430,processed_1028_skip_song1,skip song
431,processed_1028_skip_song2,skip song
432,processed_1028_stop_music1,stop music
433,processed_1028_stop_music2,stop music
434,processed_1029_increase_volume1,increase volume
435,processed_1029_increase_volume2,increase volume
436,processed_1029_next_song1,next song
437,processed_1029_next_song2,next song
438,processed_1029_pause_music1,pause music
439,processed_1029_pause_music2,pause music
440,processed_1029_play_spotify1,play spotify
441,processed_1029_play_spotify2,play spotify
442,processed_1029_reduce_volume1,reduce volume
443,processed_1029_reduce_volume2,reduce volume
444,processed_1029_skip_song1,skip song
445,processed_1029_skip_song2,skip song
446,processed_1029_stop_music1,stop music
447,processed_1029_stop_music2,stop music
448,processed_102_increase_volume1,increase volume
449,processed_102_increase_volume2,increase volume
450,processed_102_next_song1,next song
451,processed_102_next_song2,next song
452,processed_102_pause_music1,pause music
453,processed_102_pause_music2,pause music
454,processed_102_play_spotify1,play spotify
455,processed_102_play_spotify2,play spotify
456,processed_102_reduce_volume1,reduce volume
457,processed_102_reduce_volume2,reduce volume
458,processed_102_skip_song1,skip song
459,processed_102_skip_song2,skip song
460,processed_102_stop_music1,stop music
461,processed_102_stop_music2,stop music
462,processed_1030_increase_volume1,increase volume
463,processed_1030_increase_volume2,increase volume
464,processed_1030_next_song1,next song
465,processed_1030_next_song2,next song
466,processed_1030_pause_music1,pause music
467,processed_1030_pause_music2,pause music
468,processed_1030_play_spotify1,play spotify
469,processed_1030_play_spotify2,play spotify
470,processed_1030_reduce_volume1,reduce volume
471,processed_1030_reduce_volume2,reduce volume
472,processed_1030_skip_song1,skip song
473,processed_1030_skip_song2,skip song
474,processed_1030_stop_music1,stop music
475,processed_1030_stop_music2,stop music
476,processed_1031_increase_volume1,increase volume
477,processed_1031_increase_volume2,increase volume
478,processed_1031_next_song1,next song
479,processed_1031_next_song2,next song
480,processed_1031_pause_music1,pause music
481,processed_1031_pause_music2,pause music
482,processed_1031_play_spotify1,play spotify
483,processed_1031_play_spotify2,play spotify
484,processed_1031_reduce_volume1,reduce volume
485,processed_1031_reduce_volume2,reduce volume
486,processed_1031_skip_song1,skip song
487,processed_1031_skip_song2,skip song
488,processed_1031_stop_music1,stop music
489,processed_1031_stop_music2,stop music
490,processed_1032_increase_volume1,increase volume
491,processed_1032_increase_volume2,increase volume
492,processed_1032_next_song1,next song
493,processed_1032_next_song2,next song
494,processed_1032_pause_music1,pause music
495,processed_1032_pause_music2,pause music
496,processed_1032_play_spotify1,play spotify
497,processed_1032_play_spotify2,play spotify
498,processed_1032_reduce_volume1,reduce volume
499,processed_1032_reduce_volume2,reduce volume
500,processed_1032_skip_song1,skip song
501,processed_1032_skip_song2,skip song
502,processed_1032_stop_music1,stop music
503,processed_1032_stop_music2,stop music
504,processed_1033_increase_volume1,increase volume
505,processed_1033_increase_volume2,increase volume
506,processed_1033_next_song1,next song
507,processed_1033_next_song2,next song
508,processed_1033_pause_music1,pause music
509,processed_1033_pause_music2,pause music
510,processed_1033_play_spotify1,play spotify
511,processed_1033_play_spotify2,play spotify
512,processed_1033_reduce_volume1,reduce volume
513,processed_1033_reduce_volume2,reduce volume
514,processed_1033_skip_song1,skip song
515,processed_1033_skip_song2,skip song
516,processed_1033_stop_music1,stop music
517,processed_1033_stop_music2,stop music
518,processed_1034_increase_volume1,increase volume
519,processed_1034_increase_volume2,increase volume
520,processed_1034_next_song1,next song
521,processed_1034_next_song2,next song
522,processed_1034_pause_music1,pause music
523,processed_1034_pause_music2,pause music
524,processed_1034_play_spotify1,play spotify
525,processed_1034_play_spotify2,play spotify
526,processed_1034_reduce_volume1,reduce volume
527,processed_1034_reduce_volume2,reduce volume
528,processed_1034_skip_song1,skip song
529,processed_1034_skip_song2,skip song
530,processed_1034_stop_music1,stop music
531,processed_1034_stop_music2,stop music
532,processed_1035_increase_volume1,increase volume
533,processed_1035_increase_volume2,increase volume
534,processed_1035_next_song1,next song
535,processed_1035_next_song2,next song
536,processed_1035_pause_music1,pause music
537,processed_1035_pause_music2,pause music
538,processed_1035_play_spotify1,play spotify
539,processed_1035_play_spotify2,play spotify
540,processed_1035_reduce_volume1,reduce volume
541,processed_1035_reduce_volume2,reduce volume
542,processed_1035_skip_song1,skip song
543,processed_1035_skip_song2,skip song
544,processed_1035_stop_music1,stop music
545,processed_1035_stop_music2,stop music
546,processed_1036_increase_volume1,increase volume
547,processed_1036_increase_volume2,increase volume
548,processed_1036_next_song1,next song
549,processed_1036_next_song2,next song
550,processed_1036_pause_music1,pause music
551,processed_1036_pause_music2,pause music
552,processed_1036_play_spotify1,play spotify
553,processed_1036_play_spotify2,play spotify
554,processed_1036_reduce_volume1,reduce volume
555,processed_1036_reduce_volume2,reduce volume
556,processed_1036_skip_song1,skip song
557,processed_1036_skip_song2,skip song
558,processed_1036_stop_music1,stop music
559,processed_1036_stop_music2,stop music
560,processed_1037_increase_volume1,increase volume
561,processed_1037_increase_volume2,increase volume
562,processed_1037_next_song1,next song
563,processed_1037_next_song2,next song
564,processed_1037_pause_music1,pause music
565,processed_1037_pause_music2,pause music
566,processed_1037_play_spotify1,play spotify
567,processed_1037_play_spotify2,play spotify
568,processed_1037_reduce_volume1,reduce volume
569,processed_1037_reduce_volume2,reduce volume
570,processed_1037_skip_song1,skip song
571,processed_1037_skip_song2,skip song
572,processed_1037_stop_music1,stop music
573,processed_1037_stop_music2,stop music
574,processed_1038_increase_volume1,increase volume
575,processed_1038_increase_volume2,increase volume
576,processed_1038_next_song1,next song
577,processed_1038_next_song2,next song
578,processed_1038_pause_music1,pause music
579,processed_1038_pause_music2,pause music
580,processed_1038_play_spotify1,play spotify
581,processed_1038_play_spotify2,play spotify
582,processed_1038_reduce_volume1,reduce volume
583,processed_1038_reduce_volume2,reduce volume
584,processed_1038_skip_song1,skip song
585,processed_1038_skip_song2,skip song
586,processed_1038_stop_music1,stop music
587,processed_1038_stop_music2,stop music
588,processed_1039_increase_volume1,increase volume
589,processed_1039_increase_volume2,increase volume
590,processed_1039_next_song1,next song
591,processed_1039_next_song2,next song
592,processed_1039_pause_music1,pause music
593,processed_1039_pause_music2,pause music
594,processed_1039_play_spotify1,play spotify
595,processed_1039_play_spotify2,play spotify
596,processed_1039_reduce_volume1,reduce volume
597,processed_1039_reduce_volume2,reduce volume
598,processed_1039_skip_song1,skip song
599,processed_1039_skip_song2,skip song
600,processed_1039_stop_music1,stop music
601,processed_1039_stop_music2,stop music
602,processed_103_increase_volume1,increase volume
603,processed_103_increase_volume2,increase volume
604,processed_103_next_song1,next song
605,processed_103_next_song2,next song
606,processed_103_pause_music1,pause music
607,processed_103_pause_music2,pause music
608,processed_103_play_spotify1,play spotify
609,processed_103_play_spotify2,play spotify
610,processed_103_reduce_volume1,reduce volume
611,processed_103_reduce_volume2,reduce volume
612,processed_103_skip_song1,skip song
613,processed_103_skip_song2,skip song
614,processed_103_stop_music1,stop music
615,processed_103_stop_music2,stop music
616,processed_1040_increase_volume1,increase volume
617,processed_1040_increase_volume2,increase volume
618,processed_1040_next_song1,next song
619,processed_1040_next_song2,next song
620,processed_1040_pause_music1,pause music
621,processed_1040_pause_music2,pause music
622,processed_1040_play_spotify1,play spotify
623,processed_1040_play_spotify2,play spotify
624,processed_1040_reduce_volume1,reduce volume
625,processed_1040_reduce_volume2,reduce volume
626,processed_1040_skip_song1,skip song
627,processed_1040_skip_song2,skip song
628,processed_1040_stop_music1,stop music
629,processed_1040_stop_music2,stop music
630,processed_1041_increase_volume1,increase volume
631,processed_1041_increase_volume2,increase volume
632,processed_1041_next_song1,next song
633,processed_1041_next_song2,next song
634,processed_1041_pause_music1,pause music
635,processed_1041_pause_music2,pause music
636,processed_1041_play_spotify1,play spotify
637,processed_1041_play_spotify2,play spotify
638,processed_1041_reduce_volume1,reduce volume
639,processed_1041_reduce_volume2,reduce volume
640,processed_1041_skip_song1,skip song
641,processed_1041_skip_song2,skip song
642,processed_1041_stop_music1,stop music
643,processed_1041_stop_music2,stop music
644,processed_1042_increase_volume1,increase volume
645,processed_1042_increase_volume2,increase volume
646,processed_1042_next_song1,next song
647,processed_1042_next_song2,next song
648,processed_1042_pause_music1,pause music
649,processed_1042_pause_music2,pause music
650,processed_1042_play_spotify1,play spotify
651,processed_1042_play_spotify2,play spotify
652,processed_1042_reduce_volume1,reduce volume
653,processed_1042_reduce_volume2,reduce volume
654,processed_1042_skip_song1,skip song
655,processed_1042_skip_song2,skip song
656,processed_1042_stop_music1,stop music
657,processed_1042_stop_music2,stop music
658,processed_1043_increase_volume1,increase volume
659,processed_1043_increase_volume2,increase volume
660,processed_1043_next_song1,next song
661,processed_1043_next_song2,next song
662,processed_1043_pause_music1,pause music
663,processed_1043_pause_music2,pause music
664,processed_1043_play_spotify1,play spotify
665,processed_1043_play_spotify2,play spotify
666,processed_1043_reduce_volume1,reduce volume
667,processed_1043_reduce_volume2,reduce volume
668,processed_1043_skip_song1,skip song
669,processed_1043_skip_song2,skip song
670,processed_1043_stop_music1,stop music
671,processed_1043_stop_music2,stop music
672,processed_1044_increase_volume1,increase volume
673,processed_1044_increase_volume2,increase volume
674,processed_1044_next_song1,next song
675,processed_1044_next_song2,next song
676,processed_1044_pause_music1,pause music
677,processed_1044_pause_music2,pause music
678,processed_1044_play_spotify1,play spotify
679,processed_1044_play_spotify2,play spotify
680,processed_1044_reduce_volume1,reduce volume
681,processed_1044_reduce_volume2,reduce volume
682,processed_1044_skip_song1,skip song
683,processed_1044_skip_song2,skip song
684,processed_1044_stop_music1,stop music
685,processed_1044_stop_music2,stop music
686,processed_1045_increase_volume1,increase volume
687,processed_1045_increase_volume2,increase volume
688,processed_1045_next_song1,next song
689,processed_1045_next_song2,next song
690,processed_1045_pause_music1,pause music
691,processed_1045_pause_music2,pause music
692,processed_1045_play_spotify1,play spotify
693,processed_1045_play_spotify2,play spotify
694,processed_1045_reduce_volume1,reduce volume
695,processed_1045_reduce_volume2,reduce volume
696,processed_1045_skip_song1,skip song
697,processed_1045_skip_song2,skip song
698,processed_1045_stop_music1,stop music
699,processed_1045_stop_music2,stop music
700,processed_1046_increase_volume1,increase volume
701,processed_1046_increase_volume2,increase volume
702,processed_1046_next_song1,next song
703,processed_1046_next_song2,next song
704,processed_1046_pause_music1,pause music
705,processed_1046_pause_music2,pause music
706,processed_1046_play_spotify1,play spotify
707,processed_1046_play_spotify2,play spotify
708,processed_1046_reduce_volume1,reduce volume
709,processed_1046_reduce_volume2,reduce volume
710,processed_1046_skip_song1,skip song
711,processed_1046_skip_song2,skip song
712,processed_1046_stop_music1,stop music
713,processed_1046_stop_music2,stop music
714,processed_1047_increase_volume1,increase volume
715,processed_1047_increase_volume2,increase volume
716,processed_1047_next_song1,next song
717,processed_1047_next_song2,next song
718,processed_1047_pause_music1,pause music
719,processed_1047_pause_music2,pause music
720,processed_1047_play_spotify1,play spotify
721,processed_1047_play_spotify2,play spotify
722,processed_1047_reduce_volume1,reduce volume
723,processed_1047_reduce_volume2,reduce volume
724,processed_1047_skip_song1,skip song
725,processed_1047_skip_song2,skip song
726,processed_1047_stop_music1,stop music
727,processed_1047_stop_music2,stop music
728,processed_1048_increase_volume1,increase volume
729,processed_1048_increase_volume2,increase volume
730,processed_1048_next_song1,next song
731,processed_1048_next_song2,next song
732,processed_1048_pause_music1,pause music
733,processed_1048_pause_music2,pause music
734,processed_1048_play_spotify1,play spotify
735,processed_1048_play_spotify2,play spotify
736,processed_1048_reduce_volume1,reduce volume
737,processed_1048_reduce_volume2,reduce volume
738,processed_1048_skip_song1,skip song
739,processed_1048_skip_song2,skip song
740,processed_1048_stop_music1,stop music
741,processed_1048_stop_music2,stop music
742,processed_1049_increase_volume1,increase volume
743,processed_1049_increase_volume2,increase volume
